Institution;Project name;Application;Comment;Status;Method;Software;Description of the project
 Statistics Portugal   ; Big Data ESSNet  ;Classification; Multiclass classification  ; Test   ; Perceptron (linear)   ; Python (SciKit- Learn library in a Jupyter Notebook environment);    
 Statistics Portugal    ; Big Data ESSNet   ;Classification; Multiclass classification   ; Test    ; Neural Network Model for language identification  ; R Package Ã¢â‚¬Å“cld3Ã¢â‚¬Â (Google's Compact Language Detector 3);     
 Statistics Spain (INE)  ; Selective Editing of Qualitative Variables;Classification; Binary classification   ; Planning stage   ; Random Forest, SVMs, Logistic Regression, kNN Regression; R   ; Different classification techniques are to be explored to classify influential/non-influential units in the optimization approach to selective editing of qualitative variables under development at Statistics Spain (INE)
 Statistics Sweden       ; Essnet big data WP2 - Web scraping enterprise characteristics - Use case of Job advertisement;Classification; Binary classification       ; Under development      ; SVC, Decision Tree, Naive Bayes, Keras sequential NN   ; Python       ;        
Statistics Sweden;Essnet big data WP2 - Web scraping enterprise characteristics - Use case of NACE;Classification;Multilabel classification;Under development;Keras sequential NN;Python;
Statistics Sweden;Automatic coding of occupation title using machine learning methods;Classification;Binary classification;Implementation in production;k Nearest Neigbour;C# and R;
Stats NZ;Assignment of geographic region to individuals;Classification;;Test;Decision Tree;R;Decision Trees and random forest methods used to assign the correct Territorial Authority to individuals given a range of administrative data sources
Stats NZ;Classification of Building Consents with Natural Language Processing;Classification;Multi-level classification;Tested, not yet in production;Supervised Learning: Generalised Linear Model;R;A generalised linear model has been trained on historical consents data to perform classification of building consents into multiple classes. The model uses a bag of words approach, and is currently being brought into production.
Stats NZ;Classification of building consents;Classification;;Experiment;Generalised Linear Model using vectorised n-grams;R (glmnet and text2vec);We used manually coded data to train a model that categorises building consents based on a free text field (job description, as supplied by the applicant). We predict several variables, including building type (which has 29 possible values).
Stats NZ;Coding of industry classification;Classification;;Idea;;;Early days in thinking
Stats NZ;Automatic coding of census variables via Support Vector Machines;Classification;Multi-class classification;Experiment;SVM;;Investigation of the potential of using Support Vector Machines (SVM) to improve coding of item responses in their Census. They applied SVM to code the variables Occupation and Post-school Qualification, using two disjoint sets of observations, each of size 10,000, from Census 2013 data for training and testing.
Stats NZ;Imputation via Classification and Regression Trees;Classification;Classification / imputation;Experiment;Decision Tree;;Investigation in the use of CART to predict two binary variables based on Census 2013 data. The binary variables were 1. the missingness of the income variable, and 2. the response to the question of whether the respondent has moved since the previous census. Results of this investigation are being evaluated.
U.S. Bureau of Labor Statistics;Automatic coding of worker injury narratives for the Survey of Occupational Injuries and Illnesses64;Classification;Multinomial text classification;Production;Regularized Logistic Regression, Deep Neural Networks;Python, Scikit- learn, Tensorflow, Keras;Each year the Survey of Occupational Injuries and Illnesses (SOII) collects hundreds of thousands of written narratives describing work related injuries and illnesses. In order to produce statistics from this information each of these narratives receives 6 of several thousand possible codes to indicate the occupation of the worker and various characteristics of the incident. To improve the consistency and efficiency of this manual effort BLS developed and evaluated a variety of automated approaches, settling initially on regularized multinomial logistic regression. BLS found automated coding with regularized logistic regression produced more accurate coding than trained human coders, even after the human codes had the benefit of several layers of review. As a result BLS began using this technique to automatically assign codes starting with 2014 data. BLS is now automatically assigning nearly two-thirds of all SOII codes and has recently developed new deep neural network models that provide even better performance. These neural network models are currently used to identify suspicious codes for review, and are likely to be deployed for production autocoding later this year.
U.S. Bureau of Labor Statistics;Automatic coding and review of occupation narratives for the Occupational Requirements Survey;Classification;Multinomial text classification;Research;Regularized Logistic Regression;Python, Scikit- learn;One of the key data elements collected by the Occupational Requirements Survey (ORS) is the occupation classification, which is recorded in part, in text format. To more efficiently and effectively validate this data BLS is investigating the application of the same machine learning techniques now successfully being used for the SOII to assist in the review and validation of ORS occupation data. Initial results show promise. BLS will also be investigating whether occupation data from other surveys (like the SOII, and the National Compensation Survey), can be used to improve the performance of the ORS automatic reviewing system.
U.S. Bureau of Labor Statistics;Automatic extraction of benefits information from Summary of Benefits and Coverage documents.;Classification;Text classification, information extraction;Research;Random Forest;Python, Scikit- learn;"Health insurance benefits are an important component of worker's compensation and are often described in a semi-structured document called the ""Summary of Benefits and Coverage"". This project aims to use machine learning to automatically extract benefits information from these documents with the goal of eventually using this information to augment the National Compensation Survey. Initial results demonstrate that we can automatically extract some of this information at very high accuracy."
U.S. Bureau of Labor Statistics;Analysis of nonresponse to the Occupational Employment Statistics (OES) Survey66;Classification;Model assisted estimation;Research;Regression Trees;R (mase package);Auxiliary information can increase the efficiency of survey estimators through an assisting model when the model captures some of the relationship between the auxiliary data and the study variables. Despite their superior properties, model-assisted estimators are rarely used in anything but their simplest form by statistical agencies to produce official statistics. This is due to the fact that the more complicated models that have been used in model-assisted estimation are often ill suited to the available auxiliary data. Under a model-assisted framework, we propose a regression tree estimator for a finite population total. Regression tree models are adept at handling the type of auxiliary data usually available in the sampling frame and provide a model that is easy to explain and justify. The estimator can be viewed as a post-stratification estimator where the post-strata are automatically selected by the recursive partitioning algorithm of the regression tree. We establish consistency of the regression tree estimator and a variance estimator, along with asymptotic normality of the regression tree estimator. We then compare the performance of our estimator and the coverage of the confidence intervals using our variance estimator to other survey estimators using US Bureau of Labor Statistics Occupational Employment Statistics Survey data.
U.S. Census Bureau;Using an Autocoder to Code Industry and Occupation in the American Community Survey 68;Classification;Multi-class classification;Test;Logistic Regression;SAS;Every year the American Community Survey (ACS) collects industry and occupation data on nearly 2.5 million individuals. The text write- in information must then be coded, or converted to an industry or occupation numeric category code.
 U.S. Department of Agriculture NASS     ; Informing Sample Design for the Census of Agriculture   ;Classification; Developing response propensity scores to inform sampling design    ; The response propensity scores have been used in developing a sampling plan for non-respondents. Data collection is in progress.; Random Forest with Boosting      ; SAS JMP       ; Random forests with boosting were applied to predict the probability of the non-respondents after mailing to respond to the Census of Agriculture. The predicted probabilities were used as one of the stratifying variables in the sample design of non-respondents.    
U.S. Department of Agriculture NASS;non- respondent prediction70;Classification;;Experiment;Decision Tree;SAS;Non-response adjustment for the Census of Agriculture. Farms within each state in the US were partitioned into groups of Ã¢â‚¬Å“homogeneous response propensityÃ¢â‚¬Â using a classification tree model. Non- response adjustments were performed within each such group based on the response rate within that group.
U.S. Department of Agriculture NASS;Analysis of reporting errors71;Classification;;Experiment;Decision Tree;SAS;Prediction of respondents likely to make reporting errors based on sampling frame data. Results of this analysis could suggest reasons for the reporting errors, types of respondents to be included in questionnaire testing, and editing strategies after data collection.
RKI / P4;Application of machine learning methods in RKI health monitoring (KiGGS)16;Clustering;Clustering, binary and multi-class classification;Experiment;Cluster methods, Decision Trees, Neural Networks;Python;As part of the KiGGS study, the RKI collected around 4000 variables on the health of over 17,000 children and young adults. Due to the size and heterogeneity of the data set, classical statistical methods sometimes reach conceptual limits. As a pilot project for the use of machine learning methods in public health monitoring, this project is intended to show how novel methods of machine learning can be used in the work of the RKI. Various methods will be tested to identify structures and correlations in the data and to predict the occurrence of chronic diseases.
IAB FB B2;Typification of labour market regions (comparison types SGB III / SGB II) 24;Clustering;;Productive operation;Clustering according to Ward / k-Means algorithm;Stata;In the second stage of the typification process, employment agency or job centre districts with similar regional labour market characteristics are clustered through the use of Unsupervised Learning. The Ward method is combined with a k-Means algorithm.
GESIS - Leibniz Institute for the Social Sciences;How Users Explore Ontologies on the Web: A Study of NCBO's BioPortal Usage Logs31;Clustering;Clustering, dimensionality reduction;Research publication;k-Means + PCA;Python, R;"Abstract: ""Ontologies in the biomedical domain are numerous, highly specialized and very expensive to develop. Thus, a crucial prerequisite for ontology adoption and reuse is effective support for exploring and finding existing ontologies. Towards that goal, the National Center for Biomedical Ontology (NCBO) has developed BioPortal---an online repository containing more than 500 biomedical ontologies. In 2016, BioPortal represents one of the largest portals for exploration of semantic biomedical vocabularies and terminologies, which is used by many researchers and practitioners. While usage of this portal is high, we know very little about how exactly users search and explore ontologies and what kind of usage patterns or user groups exist in the first place. Deeper insights into user behavior on such portals can provide valuable information to devise strategies for a better support of users in exploring and finding existing ontologies, and thereby enable better ontology reuse. To that end, we study and group users according to their browsing behavior on BioPortal and use data mining techniques to characterize and compare exploration strategies across ontologies. In particular, we were able to identify seven distinct browsing types, all relying on different functionality provided by BioPortal. For example, Search Explorers extensively use the search functionality while Ontology Tree Explorers mainly rely on the class hierarchy for exploring ontologies. Further, we show that specific characteristics of ontologies influence the way users explore and interact with the website. Our results may guide the development of more user-oriented systems for ontology exploration on the Web."""
GESIS - Leibniz Institute for the Social Sciences;Practical collapsed stochastic variational inference for the HDP32;Clustering;Bayesian non- parametric mixed- membership clustering;Research publication;PCSVB0;Juliet;In this work we explore a collapsed stochastic variational Bayes inference for the Hierarchical Dirichlet process (HDP). The proposed online algorithm is easy to implement and accounts for the inference of hyper-parameters.
GESIS - Leibniz Institute for the Social Sciences;Discovering and Characterizing Mobility Patterns in Urban Spaces: A Study of Manhattan Taxi Data40;Clustering;;Research publication;Tensor Factorization;Python;"Abstract: ""Nowadays, human movement in urban spaces can be traced digitallyin many cases. It can be observed that movement patternsare not constant, but vary across time and space. In this work,we characterize such spatio-temporal patterns with an innovativecombination of two separate approaches that have been utilized forstudying human mobility in the past. First, by using non- negativetensor factorization (NTF), we are able to cluster human behaviorbased on spatio-temporal dimensions. Second, for characterizingthese clusters, we propose to use HypTrails, a Bayesian approachfor expressing and comparing hypotheses about human trails. Toformalize hypotheses, we utilize publicly available Web data (i.e.,Foursquare and census data). By studying taxi data in Manhattan,we can discover and characterize human mobility patterns that cannotbe identified in a collective analysis. As one example, we finda group of taxi rides that end at locations with a high number ofparty venues on weekend nights. Our findings argue for a morefine-grained analysis of human mobility in order to make informeddecisions for e.g., enhancing urban structures, tailored traffic controland location-based recommender systems."""
Statistics Netherlands;;Clustering;;Research;k-Means;;Clustering and classification of SMEs (small and medium enterprises) based on website descriptions
U.S. Bureau of Labor Statistics;Text Analysis of Interviewer Notes;Clustering;"Clustering of 
interviewer notes";Research;Model-Based Clustering, k-Means Clustering, Bayesian Hierarchical Clustering;MATLAB and R;Using text analysis and clustering (unsupervised learning) to extract information and themes from survey interviewer notes, based on data from the Consumer Expenditure Survey. We also connected the themes from interviewer notes with sample unit behavior as captured in the Contact History Instrument.
 Federal Statistical Office of Switzerland  ;" Clustering of the ""careers"" in the social security system";Clustering    ;; Test    ; Several    ; R    ;" This project is at its beginning. It is planned to test whether it is possible to detect similar ""careers"" in the social security system automatically.  "
 ONS        ; Unsupervised document clustering with cluster topic identification 51   ;Clustering    ;; Experiment        ; Doc2vec        ;         ; This piece of work is inspired by a project the Office for National StatisticsÃ¢â‚¬â„¢ (ONS's) Big Data Team have been exploring with data extracted from Companies House. Medium- to large-sized businesses are required to submit a full accounts document to Companies House and within this document the businesses typically include a description of the function of the company. This is potentially useful information to help classify the business into its relevant UK Standard Industrial Classification 2007: UK SIC 2007 code, and may offer insight into emerging new topics in industry.
GESIS - Leibniz Institute for the Social Sciences;A System for Probabilistic Linking of Thesauri and Classification Systems37;Concept linking;;Research;PLL-TM;Julia, CML, D3;"Presents a system which creates and visualizes probabilistic semantic links between concepts in a thesaurus and classes in a
classification system."
Statistics Canada;Enterprise statistics;Data extraction;;At experimentation stage;NLP, Record Linking;R, Python;Web scraping for large enterprises to complement the survey data sources with on-line data (newsfeed, ficial reports, company Web sites) to enhance data coherence, improve profiling, prepare the Entreprise Portfolio Managers' visits to companies.
Statistics Canada;Web scraping to enhance the research and development survey frames;Data extraction;;At experimentation stage;NLP, Record Linking;R, Python;Web scraping is used to supplement the R&D survey data with on- line data to identify adequately the survey population, and develop complementary indicators for innovation.
Statistics Canada;Retail statistics;Data extraction;;At experimentation stage;NLP, Record Linking;Python;Web scraping and google map for retail store information
Hessian Statistical Office;Webscraping of enterprise websites 19;Data extraction, coherence checks;Binary classification;Test mode;Webscraping, graph-based neural networks;Java, R, MySql, Apache Spark;Web scraping of enterprise websites and machine learning to gain new digital data
Stats NZ;Derivation of edit rules;Editing;;Experiment;Association Analysis;;Investigation of the potential of using association analysis to derive additional edit rules to enhance the processing of census data.
Federal Statistical Office of Germany;Proof of Concept automated plausibility check (in the earnings statistics);Error detection;Error detection and imputation;Experiment;HoloClean (underlying probability model as factor graph, inference via Gibbs sampling);Python (PyTorch), Apache Spark, PostgreSQL;The use of the HoloClean software for automated plausibility checks of earnings statistics data is to be tested. HoloClean has an error and outlier detection module and learns a probability model based on several data sources that imputates (repairs) the erroneous data.
National Institute of Statistics Romania;Use of administrative data in business statistics;Imputation;;Experimental;Tree-Based Methods: Regression Trees, Random Forest, Boosting;R;Efficient integration of administrative data into the statistical process implies finding and resolving data quality issues. methods are used for imputation of the turnover variable for businesses from the value added tax (VAT) administrative data.
Statistics Denmark;Imputation of educational status for immigrants;Imputation;;;Random Forest;R (missForest);
Statistics Netherlands;;Imputation;;Research;Random Forest;;Imputation of economic data
Statistics Netherlands;Improvement of imputation by robust estimation and machine learning methods57;Imputation;Imputation of business statistics;Test;GBM (Gradient Boosting Machine);;Standard automatic imputation methods for business statistics, such as ratio-imputation are not always accurate. We are looking for improvements by using robust estimators and automated model building by machine learning techniques (gradient boosting machine).
Stats NZ;Determination of imputation matching variables;Imputation;Imputation / variable selection;Experiment;Random Forest;;Statistics New Zealand is redesigning the editing and imputation methodology of their Household Economic Survey (HES). Their current proposed methodology will use the Canadian Census Edit and Imputation System (CANCEIS). The imputation module of CANCEIS is based on the Nearest Neighbour Imputation Methodology, which requires user specification of a distance measure of pairs of units based on a number of Ã¢â‚¬Å“matching variablesÃ¢â‚¬Â as well as weights which defines the relative importance of these matching variables. The weight of a matching variable should reflect its strength as a predictor for the variables to be imputed. Statistics New Zealand has reported promising results in using Random Forests to select the set of matching variables for CANCEIS, as well as their weights.
Stats NZ;Creation of homogeneous imputation classes;Imputation;;Experiment;Decision Tree;R;Comparison of two methods (CART, predictive mean stratification) for creating homogeneous imputation classes.
 U.S. Department of Agriculture NASS   ; Informing imputation for the Census of Agriculture  ;Imputation; Developing response propensity scores and informing imputation ; A first imputation model has been implemented, and efforts are underway to improve it.; Random Forest with Boosting    ; SAS and SAS JMP     ; Random forests with boosting are used to inform imputation of the demographics section of the Census of Agriculture    
U.S. Department of Agriculture NASS;Machine learning for the Census of Agriculture;Imputation;Developing response propensity scores and informing imputation;The response propensity scores have been used in developing a sampling plan for non-respondnets. Currently, machine learning techniques are being used to inform imputation.;Random Forest with Boosting;SAS JMP;Machine learning methods are applied to computation needs in the production of Census of Agriculture, specifically sampling and imputation
 Statistics Austria ; Imputation52 ;Imputation ;; Productive ; kNN ; R ; In various surveys and also in projects with administrative data missing values should be imputed.
 Statistics Canada   ; R&D for imputation method ;Imputation ; Imputation   ; Exploration via hackathon planned in May 2018; Various   ; Various   ; Hackathon for advanced imputation methods using AI. Use use is imputation of a large admin files where adata can be entered for generic or detailed ficial item. When generic is used, data must be imputed for detailed item.
 Eurostat      ; Categorical data imputation via neural networks and Bayesian networks45;Imputation ;; Experiment      ; Logistic Regression, Neural Networks, Bayesian Networks    ; (SAS)      ; Eurostat compared imputation results for missing categorical data (voting intensions) based on two machine learning methods (neural networks and Bayesian networks) against one of the current prevailing statistical imputation methods (multiple imputation using logistic regression).  
U.S. Bureau of Labor Statistics;Occupational Employment Statistic (OES) Occupation Autocoding;Job title and other available information into one of many occupation codes;;Development and testing;LR using SGD;Python;Division of Occupational of Employment Statistics (OES) uses Multinomial Logistic Regression with Stochastic Gradient Descent to develop a model to assign occupation codes to job titles received with employer survey responses.
GESIS - Leibniz Institute for the Social Sciences;RDF Vocabulary Term Recommen- dation43;Learning To Rank;;Research publication;Various Learning To Rank algorithms from the RankLib library;RankLib Library (Java);"Abstract: ""Deciding which RDF vocabulary terms to use when modeling data as Linked Open Data (LOD) is far from trivial. In this paper, we propose TermPicker as a novel approach enabling vocabulary reuse by recommending vocabulary terms based on various features of a term. These features include the termÃ¢â‚¬â„¢s popularity, whether it is from an already used vocabulary, and the so-called schema-level pattern (SLP) feature that exploits which terms other data providers on the LOD cloud use to describe their data. We apply Learning To Rank to establish a ranking model for vocabulary terms based on the utilized features. The results show that using the SLP-feature improves the recommendation quality by 29Ã¢â‚¬â€œ36 % considering the Mean Average Precision and the Mean Reciprocal Rank at the first five positions compared to recommendations based on solely the termÃ¢â‚¬â„¢s popularity and whether it is from an already used vocabulary."""
 Statistics Austria ; Statistical matching;Matching;; Productive ; Random Forest, kNN ; R ; On the basis of common variables two data sets are matched (very similar to imputation.)
GESIS - Leibniz Institute for the Social Sciences;Predicting structured metadata from unstructured metadata34;Metadata prediction;;Research publication;LDA, SVM;Scala, Python;Framework to predict structured metadata terms from unstructured metadata for improving quality and quantity of metadata, using the Gene Expression Omnibus (GEO) microarray database
U.S. Bureau of Labor Statistics;Analysis of nonresponse to the Occupational Employment Statistics (OES) Survey65;Nonresponse propensity modeling;;Research;Regression Trees;R;To gain insight into how characteristics of an establishment are associated with nonresponse, a recursive partitioning algorithm is applied to the Occupational Employment Statistics survey data to build a regression tree. The tree models an establishmentÃ¢â‚¬â„¢s propensity to respond to the survey given certain establishment characteristics. It provides mutually exclusive cells based on the characteristics with homogeneous response propensities. This makes it easy to identify interpretable associations between the characteristic variables and an establishmentÃ¢â‚¬â„¢s propensity to respond, something not easily done using a logistic regression propensity model. This representation is then used along with frame-level administrative wage data linked to sample data to investigate the possibility of nonresponse bias. We show that without proper adjustments the nonresponse does pose a risk of bias and is possibly nonignorable.
U.S. Bureau of Labor Statistics;Analysis of nonresponse to the Longitudinal Occupational Employment Statistics (OES) Survey67;Nonresponse propensity modeling;;Research;Regression Trees with Linear Models;R (rpms package);"This article introduces and discusses a method for conducting an analysis of nonresponse for a longitudinal establishment survey using regression trees. The methodology consists of three parts: analysis during the frame refinement and enrollment phases, common in longitudinal surveys; analysis of the effect of time on response rates during data collection; and analysis of the potential for nonresponse bias. For all three analyses, regression tree models are used to identify establishment characteristics and subgroups of establishments that represent vulnerabilities during the data collection process. This information could be used to direct additional resources to collecting data from identified establishments in order to improve the response rate."
Federal Statistical Office of Germany;Outlier Identification: Isolation Forest;Outlier detection;;Test;Isolation Forest;"R / Package: isofor;    Python / Package: Scikit- learn";"Within the project ""Implementation of the EU definition of the enterprise in business structure statistics"", a donor-based imputation procedure is used for data collection. In order to remove insufficiently plausibilised or ""extreme"" data points from the donor pool, parametric outlier identification methods as well as an ML- based method were tested. Isolation Forest offers low effort in implementation and high efficiency in computing power even when dealing with large (structured) data sets."
Statistics Canada;International Trade data Outliers Detection;Outlier detection;;The outlier detection experiment is completed. The imputation work is in progress.;XGBoost Tree Model;R;"Outliers are a major problem in the international trade data, in particular for the quantity variable. Errors include unit errors, 0 or 1 entered instead of a proper quantity,etc. Current system is based on unit value (UV) clipping, manual checking (including ""unclippingÃ¢â‚¬Â), and an approval process. Machine learning (ML) is used to automate this process. ML is also used to reconstruct/ impute the original value of the flagged points."
U.S. Bureau of Labor Statistics;Outlier Detection Using Unsupervised Learning Under Informative Sampling;Outlier Detection;;Research;k-Means;R;A Bayesian hierarchical modeling approach was developed and applied to Current Employment Statistics survey. This approach is an enhanced k-means method, and it was used to find potential outliers.
Centre for European Economic Research (ZEW);Science4KMU 18;Probabilistic scoring model; Binary classification       ;Prototype;Neural Network;Stata;Assessment of the willingness of companies to cooperate using a neural network based on survey data from the Community Innovation Survey (CIS). The model is designed to make the contact between Technology Transfer Offices (TTO) and companies more efficient.
U.S. Department of Agriculture NASS;Questionnaire consolidation 69;Questionnaire consolidation;;Experiment;Hierarchical Clustering;(SAS);Each state had its own questionnaire version (different states were surveyed on different items at different frequencies), as it was believed that this approach reduced respondent burden.
U.S. Bureau of Labor Statistics;Automatic linkage of fatal injury case information to OSHA records;Record linkage;;Research;Random Forest;Python, Scikit- learn;To produce statistics about fatal occupational injuries in the U.S., the Census of Fatal Occupational Injuries collects and combines information from a wide variety of sources including local, state, and federal government agencies and U.S. media. One of the biggest sources of official information is data from the Occupational Safety and Health Administration, which often investigates fatal work related injuries. One of the key challenges in incorporating this information is figuring out whether an OSHA record corresponds to a record already in the master file, and if so, which one. Often, this must be accomplished even without imperfect identifiers like decedent and establishment name. To address this issue this project uses machine learning, trained on previously linked documents, to automatically determine whether an OSHA investigation document should be linked to an already partially collected case, or represents a new case that should be added to the master file. By combining a variety of noisy and sometimes missing signals including information about the age of the decedent, the date of injury, the location of the incident, and the description of the incident, we can successfully automatically link OSHA records to the master file even without typical identifiers like decedent and establishment name. When this information is available however, our model can link these documents even more effectively. The system is likely to get production use later this summer.
U.S. Bureau of Labor Statistics;Automatic linkage of fatal injury case information to webpage articles.;Record linkage;;Research;Random Forest;Python, Scikit- learn, Spacy, Apache Tika;To produce statistics about fatal occupational injuries in the U.S., the Census of Fatal Occupational Injuries collects and combines information from a wide variety of sources including online media such as news articles. One of the key challenges in incorporating this information is simply finding and matching it to existing case information, often in the absence of even flawed identifiers like decedent name. To address this issue this project uses machine learning, trained on previously linked documents, to automatically determine whether an automatically collected webpage article should be linked to a case already in the master file, or represents a new case that should be added. By combining a variety of noisy signals and by automatically extracting name, date, and establishment information from the article, we hope to be able to conduct this linkage automatically. Systems have already been built to automatically collect these webpages, separate the article text from the rest of the webpage, and automatically extract information like the names of people and companies mentioned in the articles, but more work remains to be done to automatically separate relevant and irrelevant articles.
RKI / FG-31;Automatic outbreak detection for infectious diseases15;Regression;"Regression, classification and information retrieval, anomalies detection
";Research projects and productive operation;HMM, GLM, NLP, classification algorithms (Logistic Regression, Random Forest, SVM, Neural Networks);R, Python;"We develop and implement methods of machine learning for the prediction of case numbers of infectious diseases and for the detection of anomalies in surveillance data. We also use supervised learning approaches to compare and optimize these algorithms. Within the ""Signals 2.0"" project further application research concerning Natural Language Processing for the processing of unstructured data (e.g. protocols, publications) is planned, the extracted information should be made available and also included in the outbreak detection."
IAB;Prediction of duration in unemploy- ment;Regression;;Idea / Feasibility study;Decision Trees, Random Forest, SVM, Neural Networks, Boosting, Ensembles, Stacking;R;In the course of the project, the duration of unemployment is to be predicted by customers of the Federal Employment Agency. The project is explorative. The preliminary goal is therefore to evaluate the potential of machine learning in this context.
GESIS - Leibniz Institute for the Social Sciences;Predicting Genre Preferences from Cultural and Socio- economic Factors for Music Retrieval39;Regression;;Research publication;Gradient Boosting, Random Forest;Python;"Abstract: ""In absence of individual user information, knowledge aboutlarger user groups (e.g., country characteristics) can be exploited forderiving user preferences in order to provide recommendations to users.In this short paper, we study how to mitigate the cold-start problem on acountry level for music retrieval. Specifically, we investigate a large-scaledataset on user listening behavior and show that we can reduce the errorfor predicting the popularity of genres in a country by about 16.4% overa baseline model using cultural and socio-economics indicators."""
 Statistics Austria     ; Estimating a SILC-like income based on adminstrative data;Regression; Estimation/Regressi on    ; Productive     ; Random Forest     ; R     ; For a couple of years now, the household income in the ICT survey is not asked for bute estimated based on adminstrative data and the SILC data.   
Statistics Netherlands;Inference from non- probability samples;Regression;;Experiment;Nearest Neighbor, Neural Network, Regression Tree, Support Vector Machine;R;Different methods are compared to make inference from simulated samples generated through mechanisms other than random sampling to correct for selection bias. Applied to data on annual mileages of vehicles from the Dutch Online Kilometer Registration.
U.S. Bureau of Economic Analysis;Nowcasting of Source Data for Advance GDP Estimates;Regression;;Pilot;Ensemble Methods;R;This pilot effort aims to reduce revisions in key GDP components by improving trending methods. By training an ensemble of ML models (e.g. LASSO, Ridge, Random Forest, etc) using a variety of alternative data, nowcasted predictions are produced for certain source data series in time for the advance estimate of national GDP. Note that this project is currently being evaluated in parallel with the current estimate process.
 Eurostat      ; Euro Area GDP Forecast Using Large Survey Dataset - A Random Forest Approach;Regression      ;; Experiment      ; Random Forest      ; R      ; This paper presents a new statistical approach to forecasting macro- economic aggregates, based on the Random Forests technique, originally developed as a learning classification tool (Breiman, 2001). This technique can handle a very large number of input variables without overfitting and is known to enjoy good prediction properties and to be robust to noise. 
GESIS - Leibniz Institute for the Social Sciences;Measuring Motivations ofCrowd- workers: The Multidimensio nal Crowd- worker Motivation Scale36;Scale development;;Research;Structural Equation Models;R, MPlus, Python, CML;Presents the Multidimensional Crowdworker Motivation Scale (MCMS), a scale for measuring the motivation of crowdworkers on micro-task platforms.
GESIS - Leibniz Institute for the Social Sciences;Extracting Semantics from Random Walks on Wikipedia: Comparing Learning and Counting Methods.41;Text mining;Using DeepWalk (random paths in the network)/ representation learning to extract semantic relatedness and generate paths from the Wikipedia link structure;Research publication;Deep Learning;Python;"Abstract: ""Semantic relatedness between words has been extracted from a variety of sources. In this ongoing work, we explore and compare several options for determining if semantic relatedness can be extracted from navigation structures in Wikipedia. In that direction, we first investigate the potential of representation learning techniques such as DeepWalk in comparison to previously applied methods based on counting co-occurrences. Since both methods are based on (random) paths in the network, we also study different approaches to generate paths from Wikipedia link structure. For this task, we do not only consider the link structure of Wikipedia, but also actual navigation behavior of users. Finally, we analyze if semantics can also be extracted from smaller subsets of the Wikipedia link network. As a result we find that representation learning techniques mostly outperform the investigated co- occurrence counting methods on the Wikipedia network. However, we find that this is not the case for paths sampled from human navigation behavior."""
National Institute of Statistics Romania;Price index estimation using web scraped data;String matching;;Experimental;Levenshtein distance;R;Levenshtein distance between two strings is the number of deletions, insertions or substitutions required to transform source string into target string. This string matching technique is necessary for automatic classification of products names into categories and across periods.
Institut national de la statistique et des ÃƒÂ©tudes ÃƒÂ©conomiques (INSEE);Use of machine learning algorithms for nonresponse issues through reweighting;Supervised algorithms;;Ongoing study;Random Forest, Bagging, Boosting, CART, Gradient Boosting Tree, Group Lasso.;R;The objective of this study is to improve the quality of nonresponse treatments in a general context of increasing nonresponse rates in both firm and household surveys. We want to explore the ability of machine learning algorithms to take the full advantage of the huge amount of auxiliary information coming from different horizons such as, paradata, administrative data, location information, etc, in a very flexible way. Exporatory works are run on the Adult education survey and the Structural Business Statistics Survey.
 Institut national de la statistique et des ÃƒÂ©tudes ÃƒÂ©conomiques (INSEE)  ; Nowcasting short-term business indicators with media information ;Text mining, machine learning, semantical analysis    ;; Studies      ; Dictionary-based approaches, Deep Learning (Word2vec), Penalized Regression (elasticnet);       ; Several experiments aimed to assess the performance of nowcasting different business indicators (e.g. GDP, payroll employment) with google trends, and traditional media information.    
GESIS - Leibniz Institute for the Social Sciences;Polylingual Labeled Topic Model33;Topic Model;;Research publication;PLL-TM;Julia, CML;Development and evaluation of the Polylingual Labeled Topic Model
GESIS - Leibniz Institute for the Social Sciences;Election Campaigning on Social Media: Politicians, Audiences and the Mediation of Political Communi- cation on Facebook and Twitter28;Topic Modelling;;Research publication;Semi-supervised classification;Juliet;"Abstract: ""Although considerable research has concentrated on online campaigning, it is still unclear how politicians use different social media platforms in political communication. Focusing on the German federal election campaign 2013, this article investigates whether election candidates address the topics most important to the mass audience and to which extent their communication is shaped by the characteristics of Facebook and Twitter. Based on open-ended responses from a representative survey conducted during the election campaign, we train a human-interpretable Bayesian language model to identify political topics. Applying the model to social media messages of candidates and their direct audiences, we find that both prioritize different topics than the mass audience. The analysis also shows that politicians use Facebook and Twitter for different purposes. We relate the various findings to the mediation of political communication on social media induced by the particular characteristics of audiences and sociotechnical environments."""
